,Screen_name,Text,Location,Sentiment,Latitude,Longitude
0,Lifematician,"(+) It's pretty obvious Trump would have won the election if not for the COVID-19 outbreak, or perhaps if he managed the outbreak well...",Suru-lere,+,7.940989,5.0548785
1,TravelCulturati,() A Guide to All 50 States' COVID-19 Travel Restrictions,"Chicago, IL",,41.8755546,-87.6244212
2,MatsilMarc,"(-) @cnnbrk Relax everybody, no rich man has died from covid-19 🤔🤔🤔 NASAE picture of Meadow. No flushing...",World,-,38.89412085,-77.0229466193185
3,PercievedLogic,"() US again breaks daily Covid-19 record with 121,000 cases recorded Thursday","Melbourne, Australia",,-37.8142176,144.9631608
5,WillekeVE,() [UPDATED] COVID-19 resources via @WillekeVE #COVID19ireland #COVID19 #WearAMask #MentalHealth @CovidIreland @CovidIreland,Ireland,,52.865196,-7.9794599
6,chrischinj,(-) Just got back my results from my COVID-19 test and I’m still negative Thank God 😌🙌🏾,Jfk Airport,-,40.6429479,-73.7793733748521
7,GangapuramAkhi9,(+) I am proud to have contributed to India's fight against COVID-19 by donating to #PMCARES. #COVID19India,"Hyderabad, India",+,17.3886068,78.4608095675926
8,PissedWhiteDude,"() Pittsford a hotspot? BS! Don’t know 1 person that has it. Cuomo: Monroe Co. COVID-19 rates ""a problem""",The World,,38.89412085,-77.0229466193185
9,MiddleManLost,() Petition: Hold a public inquiry into Government contracts granted during Covid-19,Edinburgh,,55.9495628,-3.1914972
11,JackDaniels_US,"(-) The Jack Daniel Visitor Center is open for tours 7 days a week, 9AM-4:30PM. Tours have been modified due to Covid-19 and masks are required. Visit link for reservations and details: #JackDaniels",Lynchburg TN,-,35.2831727,-86.3739827
12,Softwareupdate1,() Asia-Pacific ERP Software Market size Witness Comprehensive Growth size COVID-19 2026 - The Daily Philadelphian,"CANADA, Whitehorse ",,60.721571,-135.054932
13,SoftwareTimes,() Asia-Pacific ERP Software Market size Witness Comprehensive Growth size COVID-19 2026 - The Daily Philadelphian,"Canada, Charlottetown ",,46.234953,-63.132935
14,nyulaw,"(+) On October 1, @nyulaw’s Institute for Corporate Governance and Finance convened experts for a wide-ranging discussion on the future of economic and financial policy amid the COVID-19 pandemic, climate change, and other globally destabilizing phenomena:","New York, New York",+,40.7306458,-73.9866136
15,1supermomdlb,(+) Divine intervention Note no positive Covid for any of the Biden campaign despite the illegitimate potus trying. President Trump's chief of staff Mark Meadows tests positive for COVID-19,"New York, USA",+,40.7306458,-73.9866136
16,RyanRadia,() @Andrew___Baker The Trump administration: reducing Covid-19 death inequality by spreading the viral wealth across the country,"Washington, DC",,38.8949549,-77.0366456
17,AndreBestMN,(+) Did you hear about the temporary Parent/Spouse allowance for PCAs? Click here to learn more about this temporary change during the COVID-19 peacetime emergency!,Minnesota,+,45.9896587,-94.6113288
18,newsfromrooftop,(+) British Library launches national programme to support SME’s through Covid-19 pandemic | #ResetRestart initiative from @BIPC offers free practical training and advice for business owners. #business #entrepreneur #goodnews,United Kingdom,+,25.2232283,55.1594933008754
19,News_8,(+) The parents of a Texas kindergartener who tested positive for COVID-19 said doctors told them she would be fine and discharged her – less than 24 hours later she was dead.,"Rochester, NY",+,43.157285,-77.615214
20,visitnatchez,() We look forward to welcoming visitors to Natchez's scenic outdoors and numerous tourism offerings. See how we're taking COVID-19 precautions here: #VisitNatchezResponsibly #VisitMSResponsibly,"Natchez, Mississippi",,31.5604442,-91.403171
21,DailyMirror,(-) Mum who got Covid-19 twice thinking she was immune warns second time is just as bad,UK,-,54.7023545,-3.2765753
23,NationAfrica,"(+) Kenya's Covid-19 cases top 61,000 as 1,065 more test positive",Kenya,+,1.4419683,38.4313975
24,ILSchoolNet,(+) QPS reports 7 new COVID-19 cases; district tracks 42 active cases,Illinois,+,40.0796606,-89.4337288
25,commreview,(+) Portland Mayor John Boggs returned to work Friday after he tested positive for COVID-19 last week,"Portland, IN",+,40.4344895,-84.9777455
